[2010-09-22 08:07:21,801] INFO  [com.Main] Start 
[2010-09-22 08:07:22,181] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: REACTION 
[2010-09-22 08:07:22,182] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: REAGENT 
[2010-09-22 08:07:22,182] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: PRODUCT 
[2010-09-22 08:07:22,182] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: OBJECT:MATERIAL_TEMPLATE 
[2010-09-22 08:07:22,182] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: MATERIAL_TEMPLATE 
[2010-09-22 08:07:22,182] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: STATE_NAME 
[2010-09-22 08:07:22,183] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: OBJECT:ITEM 
[2010-09-22 08:07:22,183] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: ITEM_ARMOR 
[2010-09-22 08:07:22,183] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: METAL 
[2010-09-22 08:07:22,183] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: COVERAGE 
[2010-09-22 08:07:22,183] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: LAYER 
[2010-09-22 08:07:22,183] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: PREPLURAL 
[2010-09-22 08:07:22,184] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: NAME 
[2010-09-22 08:07:22,184] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: LAYER_SIZE 
[2010-09-22 08:07:22,184] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: HARD 
[2010-09-22 08:07:22,184] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: UBSTEP 
[2010-09-22 08:07:22,184] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: BARRED 
[2010-09-22 08:07:22,184] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: SCALED 
[2010-09-22 08:07:22,184] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: LBSTEP 
[2010-09-22 08:07:22,185] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: UPSTEP 
[2010-09-22 08:07:22,185] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: MATERIAL_SIZE 
[2010-09-22 08:07:22,185] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: STRUCTURAL_ELASTICITY_WOVEN_THREAD 
[2010-09-22 08:07:22,185] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: STRUCTURAL_ELASTICITY_CHAIN_METAL 
[2010-09-22 08:07:22,185] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: LEATHER 
[2010-09-22 08:07:22,185] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: ARMORLEVEL 
[2010-09-22 08:07:22,186] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: LAYER_PERMIT 
[2010-09-22 08:07:22,186] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: SHAPED 
[2010-09-22 08:07:22,186] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: SOFT 
[2010-09-22 08:07:22,186] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: OBJECT:CREATURE 
[2010-09-22 08:07:22,186] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: CREATURE 
[2010-09-22 08:07:22,187] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: NAME 
[2010-09-22 08:07:22,187] DEBUG [com.bay12games.df.dwarfstruct.model.DwarfStructElement] New DwarfStructElement with token: USE_MATERIAL_TEMPLATE 
[2010-09-22 08:07:22,187] DEBUG [com.bay12games.df.rawedit.Config] WhoopREACTION 
[2010-09-22 08:07:22,187] DEBUG [com.bay12games.df.rawedit.Config] WhoopOBJECT:ITEM 
[2010-09-22 08:07:22,187] DEBUG [com.bay12games.df.rawedit.Config] WhoopOBJECT:MATERIAL_TEMPLATE 
[2010-09-22 08:07:22,187] DEBUG [com.bay12games.df.rawedit.Config] WhoopOBJECT:CREATURE 
[2010-09-22 08:07:22,187] DEBUG [com.Main] Time needed for initialize config:383 
[2010-09-22 08:07:22,223] INFO  [com.Main] Session closed 
[2010-09-22 08:07:22,522] DEBUG [com.Main] Building initial model: 1285135642522 
[2010-09-22 08:07:22,522] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:22,532] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 10 
[2010-09-22 08:07:22,532] DEBUG [com.Main] 1285135642532 
[2010-09-22 08:07:34,977] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Show AC window 
[2010-09-22 08:07:34,978] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Show AC window - yes, really show it 
[2010-09-22 08:07:37,104] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Close AC Window 
[2010-09-22 08:07:38,577] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Show AC window 
[2010-09-22 08:07:38,577] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Show AC window - yes, really show it 
[2010-09-22 08:07:39,474] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Close AC Window 
[2010-09-22 08:07:39,733] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:39,736] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 3 
[2010-09-22 08:07:47,733] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:47,736] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 3 
[2010-09-22 08:07:48,233] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:48,235] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 2 
[2010-09-22 08:07:49,481] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Show AC window 
[2010-09-22 08:07:49,481] DEBUG [com.bay12games.df.rawedit.gui.CompletionWindow] Show AC window - yes, really show it 
[2010-09-22 08:07:54,733] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:54,736] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 3 
[2010-09-22 08:07:56,733] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:56,737] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 4 
[2010-09-22 08:07:57,104] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:57,117] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 13 
[2010-09-22 08:07:57,233] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:07:57,235] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 2 
[2010-09-22 08:08:00,233] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:08:00,235] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 2 
[2010-09-22 08:08:02,233] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:08:02,234] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 1 
[2010-09-22 08:08:03,049] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:08:03,050] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 1 
[2010-09-22 08:08:03,233] DEBUG [com.bay12games.df.rawedit.DocumentLoader] #### START 
[2010-09-22 08:08:03,233] DEBUG [com.bay12games.df.rawedit.DocumentLoader] End time: 0 
